epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,29,29,0.9402999877929688,0.19976049661636353,33.16314196586609,24.86012864112854,0.0,272
2,58,58,0.9728999733924866,0.08329638093709946,65.12491178512573,48.8553626537323,0.0,272
3,87,87,0.9819999933242798,0.055377911776304245,97.76318693161011,73.51043343544006,0.0,272
4,116,116,0.9853000044822693,0.044760119169950485,129.1892101764679,96.9517650604248,0.0,272
5,146,146,0.987500011920929,0.03804720193147659,161.77319192886353,121.33191156387329,0.0,272
6,175,175,0.987500011920929,0.04068366810679436,193.64599776268005,145.2142608165741,0.0,272
7,204,204,0.9887999892234802,0.03335895389318466,224.81933975219727,168.41189813613892,0.0,272
8,233,233,0.9884999990463257,0.0337192639708519,256.29439973831177,192.00294303894043,0.0,272
9,263,263,0.9898999929428101,0.029367409646511078,289.5363337993622,217.05097913742065,0.0,272
10,292,292,0.9912999868392944,0.024765215814113617,321.87159633636475,241.45038771629333,0.0,272
11,321,321,0.9926000237464905,0.024933433160185814,354.57262325286865,266.28570532798767,0.0,272
12,350,350,0.9922999739646912,0.024394791573286057,386.007239818573,289.7561674118042,0.0,272
13,379,379,0.9923999905586243,0.02294374443590641,417.965300321579,313.7151732444763,0.0,272
14,409,409,0.9929999709129333,0.02220468781888485,450.98022866249084,338.5285894870758,0.0,272
15,438,438,0.9921000003814697,0.023389693349599838,482.74350929260254,362.36154961586,0.0,272
16,467,467,0.9923999905586243,0.022797629237174988,514.6229128837585,386.2889530658722,0.0,272
17,496,496,0.9939000010490417,0.020975571125745773,545.8192629814148,409.51002979278564,0.0,272
18,526,526,0.9939000010490417,0.020444350317120552,578.9714934825897,434.40080165863037,0.0,272
19,555,555,0.9933000206947327,0.02111532725393772,610.6517512798309,458.1775484085083,0.0,272
20,584,584,0.9934999942779541,0.021638186648488045,642.8334066867828,482.33419394493103,0.0,272
21,613,613,0.992900013923645,0.022720446810126305,674.4694495201111,505.97029280662537,0.0,272
22,643,643,0.9926999807357788,0.02332218550145626,707.2581377029419,530.4527413845062,0.0,272
23,672,672,0.9930999875068665,0.0230436809360981,740.2290325164795,555.420788526535,0.0,272
24,701,701,0.9936000108718872,0.0219061691313982,772.4415264129639,579.6509308815002,0.0,272
25,730,730,0.993399977684021,0.020895985886454582,803.9291341304779,603.1025183200836,0.0,272
26,759,759,0.9927999973297119,0.023373885080218315,835.6312849521637,626.8609204292297,0.0,272
