exper_id,algorithm,model,clients,clients_distr,epochs,threshold,batch_size,topology,syncs,duration,timestamp,epoch_steps
0,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",100,,128,ring,1439,1836.7963290214536,29-11-2023 09:33,14
1,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",10,,128,ring,143,182.4671361446381,29-11-2023 11:58,14
2,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",10,,128,star,143,1296.691124916077,29-11-2023 12:03,14
3,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",10,,128,binary_tree,143,284.92536067962646,29-11-2023 12:27,14
4,naive,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",10,2.0,128,star,26,294.14654779434204,29-11-2023 12:34,14
5,naive,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",10,2.0,128,binary_tree,25,107.51530504226685,29-11-2023 12:41,14
6,sketch,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,25.0,128,ring,9,385.0549275875092,01-12-2023 16:28,14
7,sketch,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,25.0,128,ring,9,387.927883386612,01-12-2023 17:17,14
8,sketch,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,25.0,128,ring,10,391.6434309482575,01-12-2023 18:44,14
9,sketch,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,50.0,64,ring,10,74.62285113334656,04-12-2023 15:38,29
10,naive,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,50.0,64,ring,11,37.85053277015686,04-12-2023 15:47,29
11,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",20,,64,ring,584,506.7838661670685,04-12-2023 15:49,29
12,synchronous,adv_cnn,4,"[2, 2]",20,,64,ring,4685,956.3966591358184,04-12-2023 15:58,234
13,naive,adv_cnn,4,"[2, 2]",20,50.0,64,ring,64,199.90881657600403,04-12-2023 16:17,234
14,sketch,adv_cnn,4,"[2, 2]",20,50.0,64,ring,60,426.57450127601624,04-12-2023 16:22,234
