exper_id,exper_type,model_type,clients,clients_per_node,epochs,threshold,batch_size,duration,timestamp,steps_per_epoch,data_sync,data_non_sync
0,Synchronous SGD,lenet5,2,[2],10,,128,68.34015727043152,03-10-2023 16:42,234,0.246824,4e-06
1,Naive FDA,lenet5,2,[2],10,1.0,128,69.72302770614624,03-10-2023 16:45,234,0.246824,4e-06
2,Synchronous SGD,lenet5,2,[2],10,,128,68.11560320854187,03-10-2023 16:47,234,0.246824,4e-06
3,Naive FDA,lenet5,2,[2],10,1.0,128,69.8201367855072,03-10-2023 16:50,234,0.246824,4e-06
4,Synchronous SGD,lenet5,2,[2],10,,128,67.9696433544159,03-10-2023 16:53,234,0.246824,4e-06
5,Naive FDA,lenet5,2,[2],10,1.0,128,70.35486030578613,03-10-2023 16:55,234,0.246824,4e-06
6,Synchronous SGD,lenet5,2,[2],10,,128,67.87451529502869,03-10-2023 16:58,234,0.246824,4e-06
7,Naive FDA,lenet5,2,[2],10,1.0,128,69.7914445400238,03-10-2023 17:01,234,0.246824,4e-06
8,Synchronous SGD,lenet5,2,[2],10,,128,68.16208362579346,03-10-2023 17:04,234,0.246824,4e-06
9,Naive FDA,lenet5,2,[2],10,1.0,128,69.73033285140991,03-10-2023 17:07,234,0.246824,4e-06
10,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",10,,128,19.28364539146424,04-10-2023 03:11,58,0.246824,4e-06
11,Synchronous SGD,lenet5,6,"[2, 2, 2]",10,,128,24.037142992019653,04-10-2023 03:11,78,0.246824,4e-06
12,Naive FDA,lenet5,8,"[2, 2, 2, 2]",10,1.0,128,20.635751962661743,04-10-2023 03:12,58,0.246824,4e-06
13,Naive FDA,lenet5,6,"[2, 2, 2]",10,1.0,128,25.84848117828369,04-10-2023 03:12,78,0.246824,4e-06
14,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",10,,128,18.746580362319943,04-10-2023 03:14,58,0.246824,4e-06
15,Synchronous SGD,lenet5,6,"[2, 2, 2]",10,,128,24.03800058364868,04-10-2023 03:14,78,0.246824,4e-06
16,Naive FDA,lenet5,8,"[2, 2, 2, 2]",10,1.0,128,20.346836805343628,04-10-2023 03:16,58,0.246824,4e-06
17,Naive FDA,lenet5,6,"[2, 2, 2]",10,1.0,128,25.483474493026733,04-10-2023 03:16,78,0.246824,4e-06
18,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",10,,128,18.82756423950196,04-10-2023 03:17,58,0.246824,4e-06
19,Synchronous SGD,lenet5,6,"[2, 2, 2]",10,,128,23.95648217201233,04-10-2023 03:18,78,0.246824,4e-06
20,Naive FDA,lenet5,8,"[2, 2, 2, 2]",10,1.0,128,20.28378653526306,04-10-2023 03:19,58,0.246824,4e-06
21,Naive FDA,lenet5,6,"[2, 2, 2]",10,1.0,128,25.61019897460937,04-10-2023 03:19,78,0.246824,4e-06
22,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",10,,128,18.75915026664734,04-10-2023 03:21,58,0.246824,4e-06
23,Synchronous SGD,lenet5,6,"[2, 2, 2]",10,,128,24.024338960647583,04-10-2023 03:21,78,0.246824,4e-06
24,Naive FDA,lenet5,8,"[2, 2, 2, 2]",10,1.0,128,20.317906379699707,04-10-2023 03:22,58,0.246824,4e-06
25,Naive FDA,lenet5,6,"[2, 2, 2]",10,1.0,128,25.40948462486267,04-10-2023 03:23,78,0.246824,4e-06
26,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",10,,128,18.721927165985107,04-10-2023 03:24,58,0.246824,4e-06
27,Synchronous SGD,lenet5,6,"[2, 2, 2]",10,,128,23.764159202575684,04-10-2023 03:25,78,0.246824,4e-06
28,Naive FDA,lenet5,8,"[2, 2, 2, 2]",10,1.0,128,20.32101058959961,04-10-2023 03:26,58,0.246824,4e-06
29,Naive FDA,lenet5,6,"[2, 2, 2]",10,1.0,128,25.416818857193,04-10-2023 03:26,78,0.246824,4e-06
30,Synchronous SGD,lenet5,4,"[2, 2]",10,,128,35.47573637962341,04-10-2023 03:27,117,0.246824,4e-06
31,Naive FDA,lenet5,4,"[2, 2]",10,1.0,128,37.13705515861511,04-10-2023 03:29,117,0.246824,4e-06
32,Synchronous SGD,lenet5,4,"[2, 2]",10,,128,35.2938187122345,04-10-2023 03:31,117,0.246824,4e-06
33,Naive FDA,lenet5,4,"[2, 2]",10,1.0,128,37.059640407562256,04-10-2023 03:33,117,0.246824,4e-06
34,Synchronous SGD,lenet5,4,"[2, 2]",10,,128,35.2937912940979,04-10-2023 03:35,117,0.246824,4e-06
35,Naive FDA,lenet5,4,"[2, 2]",10,1.0,128,36.88626575469971,04-10-2023 03:37,117,0.246824,4e-06
36,Synchronous SGD,lenet5,4,"[2, 2]",10,,128,35.486533403396606,04-10-2023 03:40,117,0.246824,4e-06
37,Naive FDA,lenet5,4,"[2, 2]",10,1.0,128,37.46181917190552,04-10-2023 03:42,117,0.246824,4e-06
38,Synchronous SGD,lenet5,4,"[2, 2]",10,,128,35.54670834541321,04-10-2023 03:44,117,0.246824,4e-06
39,Naive FDA,lenet5,4,"[2, 2]",10,1.0,128,37.04566264152527,04-10-2023 03:46,117,0.246824,4e-06
