epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,58,58,0.3140999972820282,2.0174992084503174,57.16178226470947,25.62224292755127,0.0,0
2,116,116,0.7602999806404114,0.6460021734237671,110.4106547832489,48.41797113418579,0.0,0
3,175,175,0.9413999915122986,0.1895316541194915,164.4246153831482,71.40757608413696,0.0,0
4,233,233,0.9664999842643738,0.1108411848545074,217.3861267566681,94.08571743965148,0.0,0
5,291,291,0.9783999919891356,0.0709219723939895,270.3750727176666,116.71629214286804,0.0,0
6,350,350,0.9824000000953674,0.0590541139245033,324.48162508010864,139.83552265167236,0.0,0
7,408,408,0.9848999977111816,0.045165117830038,377.6942422389984,162.58911085128784,0.0,0
8,466,466,0.9854999780654908,0.0423809364438056,431.0937192440033,185.6096289157868,0.0,0
9,525,525,0.9840999841690063,0.0510267876088619,485.1285893917084,208.50859880447388,0.0,0
10,583,583,0.9887999892234802,0.0350128300487995,537.9751989841461,230.95896744728088,0.0,0
1,78,78,0.8689000010490417,0.4022231698036194,69.6646556854248,27.68538737297058,0.0,1
2,156,156,0.9607999920845032,0.1263051331043243,138.7151644229889,55.60099124908447,0.0,1
3,234,234,0.9718999862670898,0.0826550349593162,207.75255274772644,83.65211844444275,0.0,1
4,312,312,0.9818000197410583,0.0567273572087287,276.2964766025543,111.1961796283722,0.0,1
5,390,390,0.986299991607666,0.0400849804282188,344.7971160411835,138.6512486934662,0.0,1
6,468,468,0.9879000186920166,0.0379304438829422,413.5579099655152,166.46293473243713,0.0,1
7,546,546,0.99099999666214,0.0278829131275415,482.57944774627686,194.32521843910217,0.0,1
8,624,624,0.991699993610382,0.0264496132731437,551.6086981296539,222.30488228797915,0.0,1
9,703,703,0.991100013256073,0.0298088323324918,621.3245079517365,250.4923610687256,0.0,1
10,781,781,0.9923999905586244,0.0248956810683012,690.0515336990356,277.9997761249542,0.0,1
1,117,117,0.8478999733924866,0.4704627394676208,81.17490339279175,18.539913177490234,0.0,2
2,234,234,0.9606000185012816,0.1230222657322883,161.4121310710907,37.24174904823303,0.0,2
3,351,351,0.973900020122528,0.0801891759037971,241.81224727630607,55.781699895858765,0.0,2
4,468,468,0.9835000038146972,0.06039360165596,322.36883544921875,74.68703389167786,0.0,2
5,585,585,0.9842000007629396,0.0486719347536563,402.6887648105621,93.36681151390076,0.0,2
6,702,702,0.9842000007629396,0.0518147870898246,482.870374917984,111.85971093177795,0.0,2
7,820,820,0.984499990940094,0.0545396283268928,563.4583296775818,130.51211023330688,0.0,2
8,937,937,0.9879999756813048,0.0418761409819126,643.3801653385162,148.8931086063385,0.0,2
9,1054,1054,0.989199995994568,0.0412289872765541,724.0445885658264,168.01441168785095,0.0,2
10,1171,1171,0.989400029182434,0.0356062985956668,804.4119327068329,186.9059538841248,0.0,2
1,58,20,0.9688000082969666,0.1017122492194175,40.760218143463135,8.422236919403076,0.9671213626861572,3
2,116,31,0.984499990940094,0.0531106740236282,76.95682621002197,13.24811339378357,1.890408277511597,3
