exper_id,algorithm,model_type,clients,clients_distr,epochs,threshold,batch_size,duration,timestamp,epoch_steps,data_sync,data_non_sync
0,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,537.9751989841461,12-10-2023 11:44,58,10.368808,4e-06
1,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,690.0515336990356,12-10-2023 11:43,78,10.368808,4e-06
2,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,804.4119327068329,12-10-2023 11:43,117,10.368808,4e-06
3,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,368.8474807739258,12-10-2023 11:55,58,10.368808,4e-06
4,Synchronous SGD,adv_cnn,2,[2],10,,128,1280.7723197937012,12-10-2023 11:43,234,10.368808,4e-06
5,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,485.9400432109833,12-10-2023 11:57,78,10.368808,4e-06
6,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,677.1340880393982,12-10-2023 11:58,117,10.368808,4e-06
7,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,537.6184456348419,12-10-2023 12:03,58,10.368808,4e-06
8,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,691.4753494262695,12-10-2023 12:06,78,10.368808,4e-06
9,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,367.27466559410095,12-10-2023 12:13,58,10.368808,4e-06
10,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,806.4919469356537,12-10-2023 12:11,117,10.368808,4e-06
11,Naive FDA,adv_cnn,2,[2],10,1.0,128,1281.8744735717771,12-10-2023 12:06,234,10.368808,4e-06
12,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,483.51039838790894,12-10-2023 12:20,78,10.368808,4e-06
13,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,539.0269982814789,12-10-2023 12:21,58,10.368808,4e-06
14,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,367.46716046333313,12-10-2023 12:32,58,10.368808,4e-06
15,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,678.2996954917908,12-10-2023 12:27,117,10.368808,4e-06
16,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,690.7494533061981,12-10-2023 12:30,78,10.368808,4e-06
17,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,535.1114158630371,12-10-2023 12:40,58,10.368808,4e-06
18,Synchronous SGD,adv_cnn,2,[2],10,,128,1279.899604320526,12-10-2023 12:30,234,10.368808,4e-06
19,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,482.8663363456726,12-10-2023 12:43,78,10.368808,4e-06
20,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,807.3375642299652,12-10-2023 12:40,117,10.368808,4e-06
21,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,369.1562099456787,12-10-2023 12:51,58,10.368808,4e-06
22,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,691.0390479564667,12-10-2023 12:53,78,10.368808,4e-06
23,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,675.3572406768799,12-10-2023 12:55,117,10.368808,4e-06
24,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,537.1695432662964,12-10-2023 12:59,58,10.368808,4e-06
25,Naive FDA,adv_cnn,2,[2],10,1.0,128,1282.3532536029816,12-10-2023 12:53,234,10.368808,4e-06
26,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,485.0625865459442,12-10-2023 13:06,78,10.368808,4e-06
27,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,368.72254824638367,12-10-2023 13:10,58,10.368808,4e-06
28,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,808.0007975101471,12-10-2023 13:08,117,10.368808,4e-06
29,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,692.0250675678253,12-10-2023 13:16,78,10.368808,4e-06
30,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,677.2421798706055,12-10-2023 13:24,117,10.368808,4e-06
31,Synchronous SGD,adv_cnn,2,[2],10,,128,1279.0878229141235,12-10-2023 13:16,234,10.368808,4e-06
32,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,482.9111244678497,12-10-2023 13:30,78,10.368808,4e-06
33,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,807.091700553894,12-10-2023 13:37,117,10.368808,4e-06
34,Naive FDA,adv_cnn,2,[2],10,1.0,128,1280.5727486610413,12-10-2023 13:39,234,10.368808,4e-06
35,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,679.4862968921661,12-10-2023 13:53,117,10.368808,4e-06
36,Synchronous SGD,adv_cnn,2,[2],10,,128,1281.2095589637756,12-10-2023 14:03,234,10.368808,4e-06
37,Naive FDA,adv_cnn,2,[2],10,1.0,128,1284.054468870163,12-10-2023 14:27,234,10.368808,4e-06
38,Synchronous SGD,adv_cnn,2,[2],10,,128,1279.2092278003693,12-10-2023 14:50,234,10.368808,4e-06
39,Naive FDA,adv_cnn,2,[2],10,1.0,128,1280.9273691177368,12-10-2023 15:14,234,10.368808,4e-06
