step,epoch,syncs,loss,time,com_time,calc_time,exper_id
1,1,1,2.298128,1.5379083156585693,0.0,0.0,1
2,1,2,2.2991076,1.9256742000579834,0.14798760414123535,0.003464937210083008,1
3,1,2,2.2790744,2.144134283065796,0.15446853637695312,0.006479024887084961,1
4,1,2,2.298071,2.349090814590454,0.1548304557800293,0.009181976318359375,1
5,1,2,2.2975016,2.5728724002838135,0.15518856048583984,0.011142969131469727,1
6,1,2,2.2915382,2.7736270427703857,0.1572704315185547,0.014297962188720703,1
7,1,2,2.264676,2.983067274093628,0.159820556640625,0.017016887664794922,1
8,1,2,2.305183,3.184451103210449,0.1644885540008545,0.01856398582458496,1
9,1,2,2.141943,3.4029273986816406,0.16513633728027344,0.02106308937072754,1
10,1,2,2.2459314,3.611499309539795,0.1676013469696045,0.022782087326049805,1
11,1,2,2.0223505,3.81425142288208,0.1723463535308838,0.02464008331298828,1
12,1,2,1.8966355,4.02383828163147,0.17731547355651855,0.027424097061157227,1
13,1,2,1.6887197,4.237423419952393,0.1813955307006836,0.029349088668823242,1
14,1,2,1.6478884,4.452682256698608,0.18549060821533203,0.031063079833984375,1
15,1,2,1.5574528,4.664247512817383,0.19420671463012695,0.034249067306518555,1
16,1,2,1.1037018,4.880493640899658,0.20210576057434082,0.03584408760070801,1
17,1,2,1.2217565,5.0912346839904785,0.20690274238586426,0.03773808479309082,1
18,1,2,0.9394116,5.304410219192505,0.21007490158081055,0.04060006141662598,1
19,1,2,0.9947614,5.522619724273682,0.2137448787689209,0.042346954345703125,1
20,1,2,0.69799685,5.726135969161987,0.22063279151916504,0.0437619686126709,1
21,1,2,0.6407204,5.940366506576538,0.22263264656066895,0.04684877395629883,1
22,1,2,0.79947317,6.161224126815796,0.22709059715270996,0.049507856369018555,1
23,1,2,0.49111748,6.363766193389893,0.23652863502502441,0.05167889595031738,1
24,1,2,0.89388,6.5657148361206055,0.24193263053894043,0.053479909896850586,1
25,1,2,0.7390483,6.7751383781433105,0.24470853805541992,0.05517172813415527,1
26,1,2,0.47226048,6.9817259311676025,0.2504234313964844,0.05792570114135742,1
27,1,2,0.5053853,7.1744959354400635,0.25173258781433105,0.05968880653381348,1
28,1,2,0.62928236,7.373471975326538,0.2565915584564209,0.06125187873840332,1
29,1,2,0.4202609,7.5809831619262695,0.25688958168029785,0.06356501579284668,1
30,1,2,0.7030592,7.783912658691406,0.26169276237487793,0.06647992134094238,1
31,1,2,0.45800665,7.994343519210815,0.262833833694458,0.06961393356323242,1
32,1,2,0.6077945,8.208173751831055,0.2708456516265869,0.0711667537689209,1
33,1,2,0.46938604,8.408474922180176,0.27196264266967773,0.0746006965637207,1
34,1,2,0.3636837,8.612763404846191,0.2722806930541992,0.0763998031616211,1
35,1,2,0.19058672,8.819925785064697,0.2749917507171631,0.07974076271057129,1
36,1,2,0.13596348,9.016833782196045,0.2754049301147461,0.08336257934570312,1
37,1,2,0.20211068,9.229457139968872,0.2832009792327881,0.08538961410522461,1
38,1,2,0.2784602,9.43087649345398,0.2857811450958252,0.08754563331604004,1
39,1,2,0.2680449,9.64876675605774,0.29064512252807617,0.08941960334777832,1
40,1,3,0.30373925,10.011496782302856,0.4416501522064209,0.09251570701599121,1
41,1,3,0.3319782,10.211999416351318,0.4463801383972168,0.09406757354736328,1
42,1,3,0.25128782,10.408696413040161,0.45099616050720215,0.09754061698913574,1
43,1,3,0.39558405,10.610481023788452,0.4536442756652832,0.10050058364868164,1
44,1,3,0.38536614,10.826476335525513,0.4552304744720459,0.10326266288757324,1
45,1,3,0.416602,11.033960580825806,0.4584624767303467,0.10529065132141113,1
46,1,3,0.29912913,11.240105867385864,0.4640934467315674,0.10883474349975586,1
47,1,3,0.23694363,11.444149255752563,0.46700334548950195,0.1109466552734375,1
48,1,3,0.28129447,11.660260438919067,0.4764864444732666,0.11252284049987793,1
49,1,3,0.19578257,11.86662220954895,0.4814903736114502,0.11566281318664551,1
50,1,3,0.27161512,12.071258544921875,0.4943244457244873,0.11714386940002441,1
51,1,3,0.11737367,12.264981746673584,0.4996755123138428,0.11862301826477051,1
52,1,3,0.33685353,12.473795890808105,0.5058646202087402,0.12021088600158691,1
53,1,3,0.22527052,12.666852474212646,0.5073397159576416,0.12208080291748047,1
54,1,3,0.122072905,12.885323524475098,0.5111336708068848,0.12415885925292969,1
55,1,3,0.19386593,13.093186140060425,0.5194315910339355,0.12647485733032227,1
56,1,3,0.12779328,13.294406175613403,0.520904541015625,0.1282508373260498,1
57,1,3,0.32038683,13.503788471221924,0.5217595100402832,0.13115692138671875,1
58,1,3,0.3932641,13.712495803833008,0.5226595401763916,0.134443998336792,1
59,1,3,0.101080626,13.917690753936768,0.5283784866333008,0.13658690452575684,1
60,1,3,0.062477533,14.118708372116089,0.5306565761566162,0.13910698890686035,1
61,1,3,0.105238564,14.322439670562744,0.53952956199646,0.1412949562072754,1
62,1,3,0.23449695,14.526570081710815,0.5443985462188721,0.14313411712646484,1
63,1,3,0.450124,14.725392818450928,0.545844316482544,0.14488720893859863,1
64,1,3,0.112907946,14.922342300415039,0.549532413482666,0.14770221710205078,1
65,1,3,0.14877146,15.124062299728394,0.553307294845581,0.1495511531829834,1
66,1,3,0.16138795,15.326711893081665,0.5552711486816406,0.15284299850463867,1
67,1,3,0.2391277,15.533777236938477,0.5557291507720947,0.15539097785949707,1
68,1,3,0.10193575,15.743943214416504,0.561953067779541,0.15810298919677734,1
69,1,3,0.16256163,15.94551396369934,0.5673511028289795,0.15961313247680664,1
70,1,3,0.2079528,16.147582530975342,0.5730271339416504,0.16248321533203125,1
71,1,3,0.38337114,16.341628074645996,0.576848030090332,0.1651611328125,1
72,1,3,0.071628734,16.537225246429443,0.5805590152740479,0.1667640209197998,1
73,1,3,0.16456175,16.74116587638855,0.5808711051940918,0.16840100288391113,1
74,1,3,0.12971069,16.944135904312134,0.5820431709289551,0.17026710510253906,1
75,1,3,0.05857954,17.153583765029907,0.589137077331543,0.17284417152404785,1
76,1,3,0.24498525,17.359235525131226,0.5947830677032471,0.1742861270904541,1
77,1,3,0.18193278,17.562366485595703,0.6037769317626953,0.17631006240844727,1
78,1,3,0.19231316,17.770853281021118,0.6041429042816162,0.17850399017333984,1
79,1,3,0.06480077,17.980833768844604,0.6054019927978516,0.1807699203491211,1
80,1,3,0.17338692,18.170939683914185,0.6065700054168701,0.18398475646972656,1
81,1,3,0.12617606,18.380493879318237,0.6075549125671387,0.1857588291168213,1
82,1,3,0.25612593,18.58786416053772,0.6108188629150391,0.1893017292022705,1
83,1,3,0.2974598,18.791877508163452,0.6125729084014893,0.19124460220336914,1
84,1,3,0.101899795,18.98863983154297,0.6155838966369629,0.19282746315002441,1
85,1,3,0.23543508,19.19379448890686,0.6158769130706787,0.19459152221679688,1
86,1,3,0.18424004,19.39953875541687,0.6172010898590088,0.19651556015014648,1
87,1,3,0.08808091,19.59484100341797,0.6227049827575684,0.1981055736541748,1
88,1,3,0.088377625,19.80176305770874,0.6262340545654297,0.20018339157104492,1
89,1,3,0.080777965,20.023491621017456,0.6301069259643555,0.20220136642456055,1
90,1,3,0.06800669,20.230553150177002,0.6304998397827148,0.2055034637451172,1
91,1,3,0.26835507,20.437049865722656,0.6334857940673828,0.20882368087768555,1
92,1,3,0.024461705,20.647090196609497,0.6433837413787842,0.21044182777404785,1
93,1,3,0.22613357,20.84544014930725,0.645770788192749,0.2122647762298584,1
94,1,3,0.13859424,21.051957368850708,0.6461377143859863,0.21413779258728027,1
95,1,3,0.18107392,21.27549123764038,0.6526308059692383,0.21573901176452637,1
96,1,3,0.12182507,21.48532724380493,0.6576967239379883,0.2189018726348877,1
97,1,3,0.087255165,21.69315528869629,0.6603426933288574,0.22185182571411133,1
98,1,3,0.07268289,21.89657497406006,0.6669807434082031,0.22336888313293457,1
99,1,3,0.18382686,22.098846673965454,0.6716418266296387,0.22541093826293945,1
100,1,3,0.10929811,22.29628324508667,0.6805908679962158,0.22749996185302734,1
101,1,3,0.2584377,22.497711658477783,0.6864757537841797,0.23045086860656738,1
102,1,3,0.2403005,22.70977807044983,0.6926517486572266,0.23366785049438477,1
103,1,3,0.10554682,22.917813539505005,0.7002837657928467,0.2355329990386963,1
104,1,3,0.08197409,23.115410327911377,0.7045948505401611,0.23713397979736328,1
105,1,3,0.18708128,23.326554775238037,0.7093348503112793,0.23896384239196777,1
106,1,3,0.1519242,23.53685760498047,0.7168138027191162,0.241318941116333,1
107,1,3,0.076876484,23.74427819252014,0.7211747169494629,0.24396800994873047,1
108,1,3,0.2103508,23.947505474090576,0.7272849082946777,0.2468419075012207,1
109,1,3,0.0983233,24.149661540985107,0.7318258285522461,0.248931884765625,1
110,1,3,0.08323717,24.356881141662598,0.7398767471313477,0.25147581100463867,1
111,1,3,0.27272332,24.557819843292236,0.7423596382141113,0.25319361686706543,1
112,1,3,0.03610728,24.770044565200806,0.745370626449585,0.2564516067504883,1
113,1,3,0.10206013,24.982787132263184,0.7500104904174805,0.25894665718078613,1
114,1,3,0.06660781,25.1966552734375,0.7538125514984131,0.26242756843566895,1
115,1,3,0.040504985,25.39453959465027,0.7612674236297607,0.2640876770019531,1
116,1,3,0.11984653,25.60507345199585,0.7617435455322266,0.26720666885375977,1
117,1,3,0.16055773,25.818110466003418,0.7676465511322021,0.26886677742004395,1
118,1,3,0.049403965,26.030864477157593,0.7679736614227295,0.2707667350769043,1
119,1,3,0.13324958,26.234612703323364,0.7717854976654053,0.2735776901245117,1
120,1,3,0.19528425,26.452653169631958,0.7769894599914551,0.27570676803588867,1
121,1,3,0.08434817,26.658397674560547,0.7800023555755615,0.27883172035217285,1
