exper_id,algorithm,model_type,clients,clients_distr,epochs,threshold,batch_size,duration,timestamp,epoch_steps,data_sync,data_non_sync
0,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,665.3547337055206,11-10-2023 17:28,117,0.246824,4e-06
1,Synchronous SGD,lenet5,2,[2],100,,128,1121.6683747768402,11-10-2023 17:24,234,0.246824,4e-06
2,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,588.0363254547119,11-10-2023 17:42,117,0.246824,4e-06
3,Naive FDA,lenet5,2,[2],100,1.0,128,1131.3223860263824,11-10-2023 17:45,234,0.246824,4e-06
4,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,664.9435820579529,11-10-2023 17:54,117,0.246824,4e-06
5,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,590.7460095882416,11-10-2023 18:08,117,0.246824,4e-06
6,Synchronous SGD,lenet5,2,[2],100,,128,1122.1021506786346,11-10-2023 18:07,234,0.246824,4e-06
7,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,667.541511297226,11-10-2023 18:20,117,0.246824,4e-06
8,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,588.0449125766754,11-10-2023 18:34,117,0.246824,4e-06
9,Naive FDA,lenet5,2,[2],100,1.0,128,1130.879770040512,11-10-2023 18:29,234,0.246824,4e-06
10,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,663.2060689926147,11-10-2023 18:46,117,0.246824,4e-06
11,Synchronous SGD,lenet5,2,[2],100,,128,1120.0854756832125,11-10-2023 18:51,234,0.246824,4e-06
12,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,589.1327741146088,11-10-2023 19:00,117,0.246824,4e-06
13,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,489.61766147613525,11-10-2023 19:15,78,0.246824,4e-06
14,Synchronous SGD,lenet5,4,"[2, 2]",100,,128,666.2593152523041,11-10-2023 19:12,117,0.246824,4e-06
15,Naive FDA,lenet5,2,[2],100,1.0,128,1129.313856124878,11-10-2023 19:12,234,0.246824,4e-06
16,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,396.64805722236633,11-10-2023 19:26,78,0.246824,4e-06
17,Naive FDA,lenet5,4,"[2, 2]",100,1.0,128,589.0303385257721,11-10-2023 19:26,117,0.246824,4e-06
18,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,484.339341878891,11-10-2023 19:35,78,0.246824,4e-06
19,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,390.7022039890289,11-10-2023 19:38,58,0.246824,4e-06
20,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,298.58860969543457,11-10-2023 19:46,58,0.246824,4e-06
21,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,397.57416677474976,11-10-2023 19:45,78,0.246824,4e-06
22,Synchronous SGD,lenet5,2,[2],100,,128,1119.610500574112,11-10-2023 19:34,234,0.246824,4e-06
23,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,390.9881384372711,11-10-2023 19:54,58,0.246824,4e-06
24,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,482.8896174430847,11-10-2023 19:54,78,0.246824,4e-06
25,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,300.04688024520874,11-10-2023 20:03,58,0.246824,4e-06
26,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,398.08953833580017,11-10-2023 20:05,78,0.246824,4e-06
27,Naive FDA,lenet5,2,[2],100,1.0,128,1134.170109987259,11-10-2023 19:55,234,0.246824,4e-06
28,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,390.1325414180756,11-10-2023 20:10,58,0.246824,4e-06
29,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,481.0766179561615,11-10-2023 20:13,78,0.246824,4e-06
30,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,299.37713384628296,11-10-2023 20:18,58,0.246824,4e-06
31,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,397.90355801582336,11-10-2023 20:24,78,0.246824,4e-06
32,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,389.7917602062225,11-10-2023 20:26,58,0.246824,4e-06
33,Synchronous SGD,lenet5,2,[2],100,,128,1121.0437915325165,11-10-2023 20:17,234,0.246824,4e-06
34,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,300.82314801216125,11-10-2023 20:34,58,0.246824,4e-06
35,Synchronous SGD,lenet5,6,"[2, 2, 2]",100,,128,483.1135551929474,11-10-2023 20:33,78,0.246824,4e-06
36,Synchronous SGD,lenet5,8,"[2, 2, 2, 2]",100,,128,391.1406576633453,11-10-2023 20:42,58,0.246824,4e-06
37,Naive FDA,lenet5,6,"[2, 2, 2]",100,1.0,128,397.5160295963288,11-10-2023 20:43,78,0.246824,4e-06
38,Naive FDA,lenet5,8,"[2, 2, 2, 2]",100,1.0,128,300.4990756511688,11-10-2023 20:51,58,0.246824,4e-06
39,Naive FDA,lenet5,2,[2],100,1.0,128,1133.209145784378,11-10-2023 20:38,234,0.246824,4e-06
