step,epoch,syncs,loss,time,com_time,calc_time,exper_id
1,1,1,2.2902808,4.00054144859314,0.0,0.0,25
2,1,2,2.274405,4.152843713760376,0.049115896224975586,0.06841611862182617,25
3,1,2,2.2214766,4.193937301635742,0.061537981033325195,0.07066631317138672,25
4,1,2,2.1359782,4.229183912277222,0.0769350528717041,0.07274341583251953,25
5,1,2,2.025439,4.263854026794434,0.0921320915222168,0.07458925247192383,25
6,1,2,2.0099585,4.296071529388428,0.10475301742553711,0.07672715187072754,25
7,1,2,1.8737088,4.336217403411865,0.12601494789123535,0.07899713516235352,25
8,1,3,1.8794533,4.3803441524505615,0.14294099807739258,0.08107924461364746,25
9,1,3,1.7791772,4.4117536544799805,0.15661001205444336,0.08309316635131836,25
10,1,3,1.6057658,4.44723916053772,0.16992497444152832,0.08503413200378418,25
11,1,3,1.5006924,4.47987174987793,0.18321704864501953,0.08690476417541504,25
12,1,3,1.4569253,4.510971546173096,0.19548416137695312,0.08894181251525879,25
13,1,3,1.3125061,4.542264223098755,0.2080540657043457,0.09099078178405762,25
14,1,4,1.2874808,4.579130411148071,0.22392034530639648,0.09294462203979492,25
15,1,4,1.2103279,4.6129679679870605,0.2346663475036621,0.09506082534790039,25
16,1,4,1.1766555,4.650922536849976,0.2550942897796631,0.09723281860351562,25
17,1,4,0.967438,4.686434745788574,0.26956605911254883,0.0991208553314209,25
18,1,4,1.0002398,4.717525243759155,0.2820620536804199,0.10126686096191406,25
19,1,4,0.8237529,4.74996280670166,0.2946491241455078,0.1033926010131836,25
20,1,4,0.8183402,4.787365913391113,0.30943822860717773,0.10542678833007812,25
21,1,5,0.8689599,4.834052085876465,0.33414721488952637,0.10777974128723145,25
22,1,5,0.6799334,4.872612237930298,0.3478212356567383,0.10990405082702637,25
23,1,5,0.7113306,4.912664175033569,0.3663961887359619,0.11211800575256348,25
24,1,5,0.5449724,4.951640367507935,0.38590335845947266,0.11381983757019043,25
25,1,5,0.7193797,4.986021995544434,0.3975205421447754,0.11590099334716797,25
26,1,5,0.66147816,5.029495000839233,0.4190704822540283,0.11819863319396973,25
27,1,5,0.7361151,5.059781312942505,0.43147969245910645,0.1199188232421875,25
28,1,5,0.5129707,5.09950065612793,0.44929981231689453,0.12162494659423828,25
29,1,6,0.57984847,5.137986421585083,0.466137170791626,0.12395882606506348,25
30,1,6,0.44850463,5.170170307159424,0.478945255279541,0.12599873542785645,25
31,1,6,0.576167,5.204773426055908,0.49199724197387695,0.1278986930847168,25
32,1,6,0.55191934,5.241078853607178,0.5122404098510742,0.1299736499786377,25
33,1,6,0.5919634,5.27726936340332,0.5253064632415771,0.13222861289978027,25
34,1,6,0.53755367,5.310242414474487,0.5381045341491699,0.1338367462158203,25
35,1,6,0.4378171,5.350834369659424,0.5576496124267578,0.1358015537261963,25
36,1,6,0.777122,5.380826473236084,0.5704424381256104,0.1379563808441162,25
37,1,6,0.42962945,5.41253924369812,0.5839903354644775,0.14019560813903809,25
38,1,6,0.39962155,5.454068183898926,0.605419397354126,0.14234256744384766,25
39,1,6,0.5298571,5.4869725704193115,0.6200504302978516,0.1442255973815918,25
40,1,7,0.41107127,5.539804220199585,0.6490273475646973,0.14630889892578125,25
41,1,7,0.6586927,5.582482099533081,0.6698472499847412,0.14853978157043457,25
42,1,7,0.44760087,5.614243507385254,0.6822292804718018,0.15072274208068848,25
43,1,7,0.4767488,5.658847093582153,0.70339035987854,0.15308761596679688,25
44,1,7,0.4339929,5.689637899398804,0.7173452377319336,0.1547708511352539,25
45,1,7,0.39407688,5.72916579246521,0.7376682758331299,0.15677094459533691,25
46,1,7,0.4528128,5.766509056091309,0.7577753067016602,0.15888571739196777,25
47,1,7,0.3690179,5.796889305114746,0.7701313495635986,0.16088485717773438,25
48,1,7,0.30187702,5.829769611358643,0.7825355529785156,0.16286301612854004,25
49,1,7,0.3617297,5.8607497215271,0.7945916652679443,0.1648871898651123,25
50,1,7,0.24021247,5.891067981719971,0.8071637153625488,0.16690945625305176,25
51,1,7,0.37508672,5.923903226852417,0.8207786083221436,0.1687915325164795,25
52,1,7,0.2267906,5.9612650871276855,0.8417556285858154,0.17071247100830078,25
53,1,7,0.34963417,5.9947192668914795,0.8525066375732422,0.172196626663208,25
54,1,7,0.4996627,6.030146360397339,0.8672435283660889,0.17412352561950684,25
55,1,8,0.29292497,6.074902772903442,0.8911335468292236,0.17631959915161133,25
56,1,8,0.40055192,6.116904258728027,0.9114885330200195,0.17805266380310059,25
57,1,8,0.33373308,6.147402763366699,0.924201488494873,0.18016672134399414,25
58,1,8,0.26240325,6.187516689300537,0.9436874389648438,0.18244004249572754,25
59,1,8,0.2087587,6.218123912811279,0.9554023742675781,0.18429017066955566,25
60,1,8,0.41294897,6.251294374465942,0.9682204723358154,0.18632006645202637,25
61,1,8,0.19304031,6.295043706893921,0.9894983768463135,0.18846797943115234,25
62,1,8,0.52784085,6.324170112609863,1.001765251159668,0.19049286842346191,25
63,1,8,0.35275704,6.368001699447632,1.0229604244232178,0.19255280494689941,25
64,1,8,0.45889282,6.407258987426758,1.0356895923614502,0.1946878433227539,25
65,1,8,0.2830971,6.433995008468628,1.0491206645965576,0.19689273834228516,25
66,1,8,0.35126635,6.462633371353149,1.0615925788879395,0.19904088973999023,25
67,1,8,0.23588073,6.49554181098938,1.0752167701721191,0.20114874839782715,25
68,1,8,0.27059716,6.533795118331909,1.0951647758483887,0.20319080352783203,25
69,1,8,0.20001152,6.565441608428955,1.107684850692749,0.20514369010925293,25
70,1,8,0.4112716,6.59799861907959,1.1203968524932861,0.20740079879760742,25
71,1,8,0.2387735,6.629025459289551,1.132978916168213,0.2097327709197998,25
72,1,8,0.2846071,6.663343906402588,1.1452510356903076,0.2120218276977539,25
73,1,8,0.3088043,6.701364755630493,1.166076898574829,0.21417570114135742,25
74,1,8,0.4967946,6.741221189498901,1.1872329711914062,0.21653079986572266,25
75,1,8,0.29570538,6.770846128463745,1.1996381282806396,0.21854782104492188,25
76,1,8,0.17975102,6.811729192733765,1.219358205795288,0.22048282623291016,25
77,1,9,0.293221,6.86113429069519,1.2469689846038818,0.2224438190460205,25
78,1,9,0.2237481,6.899455547332764,1.2593967914581299,0.22475171089172363,25
79,1,9,0.350532,6.936713457107544,1.278714656829834,0.22690367698669434,25
80,1,9,0.29050627,6.967325687408447,1.2903847694396973,0.22891473770141602,25
81,1,9,0.1897562,6.998112440109253,1.3027458190917969,0.23102283477783203,25
82,1,9,0.21098797,7.029674291610718,1.3142986297607422,0.2328479290008545,25
83,1,9,0.14945394,7.065606355667114,1.33320951461792,0.23497414588928223,25
84,1,9,0.31493855,7.111636400222778,1.3536486625671387,0.23694539070129395,25
85,1,9,0.35442194,7.139638423919678,1.367255687713623,0.23899364471435547,25
86,1,9,0.34468535,7.174408912658691,1.380035638809204,0.24094271659851074,25
87,1,9,0.4460498,7.203553915023804,1.3928606510162354,0.24309778213500977,25
88,1,9,0.27839634,7.236068248748779,1.406789779663086,0.24489092826843262,25
89,1,9,0.45058486,7.265573263168335,1.4185926914215088,0.2468571662902832,25
90,1,9,0.3505653,7.3056640625,1.4394617080688477,0.24898624420166016,25
91,1,9,0.59855366,7.337741374969482,1.4522216320037842,0.25105905532836914,25
92,1,9,0.29080188,7.36764931678772,1.4651565551757812,0.2530248165130615,25
93,1,9,0.17281517,7.3972063064575195,1.4768385887145996,0.25528478622436523,25
94,1,9,0.48777413,7.4280219078063965,1.4900104999542236,0.2574479579925537,25
95,1,9,0.26322886,7.470335006713867,1.5092763900756836,0.25928282737731934,25
96,1,9,0.36216122,7.508556842803955,1.5293233394622803,0.2613716125488281,25
97,1,9,0.28467047,7.546682834625244,1.5449354648590088,0.263319730758667,25
98,1,9,0.18811797,7.578681707382202,1.5573804378509521,0.2654917240142822,25
99,1,9,0.26944765,7.608688116073608,1.570756435394287,0.26757287979125977,25
100,1,9,0.15389378,7.641874074935913,1.5841395854949951,0.26917386054992676,25
101,1,9,0.12827606,7.673807382583618,1.598064661026001,0.27100682258605957,25
102,1,9,0.29935455,7.705488443374634,1.610330581665039,0.2731788158416748,25
103,1,9,0.1596511,7.7404022216796875,1.6230647563934326,0.2753489017486572,25
104,1,10,0.10656232,7.781134128570557,1.6425447463989258,0.2773399353027344,25
105,1,10,0.37837467,7.818886041641235,1.6584606170654297,0.27947998046875,25
106,1,10,0.20023975,7.855577230453491,1.6779305934906006,0.2817249298095703,25
107,1,10,0.14448774,7.890980958938599,1.690502643585205,0.2841207981109619,25
108,1,10,0.18725015,7.923390626907349,1.7027297019958496,0.2866988182067871,25
109,1,10,0.25804633,7.955001592636108,1.7155046463012695,0.28880763053894043,25
