exper_id,algorithm,model,clients,clients_distr,epochs,threshold,batch_size,syncs,duration,timestamp,epoch_steps
13,linear,lenet5,8,[],2,1.1,64,10,8.646678924560547,16-11-2023 07:22,117
14,linear,lenet5,8,[],2,1.1,64,9,8.90040373802185,16-11-2023 07:23,117
15,linear,lenet5,8,[],2,1.1,64,10,8.999041318893433,16-11-2023 08:17,117
16,sketch,lenet5,8,[],2,1.1,64,4,12.081032991409302,16-11-2023 08:46,117
17,sketch,adv_cnn,8,[],10,100.0,64,7,1089.836897611618,16-11-2023 14:45,117
18,sketch,lenet5,16,[],10,1.1,64,21,34.9606077671051,16-11-2023 16:33,58
19,sketch,lenet5,3,[],10,1.1,64,9,135.8218493461609,17-11-2023 09:20,312
20,sketch,adv_cnn,3,[],10,100.0,64,16,1708.2279906272888,17-11-2023 09:33,312
21,sketch,adv_cnn,8,[],10,100.0,64,7,1087.8009734153748,17-11-2023 10:29,117
22,sketch,adv_cnn,8,[],10,100.0,64,8,1095.7139999866486,17-11-2023 13:14,117
23,sketch,lenet5,3,[],10,1.1,64,42,135.90030026435852,17-11-2023 13:33,312
24,sketch,lenet5,8,[],10,1.1,64,25,46.943864822387695,17-11-2023 13:36,117
25,sketch,lenet5,8,[],10,1.1,64,26,46.022451877594,17-11-2023 13:48,117
26,naive,lenet5,8,[],10,1.1,64,26,25.083354949951172,17-11-2023 13:49,117
