epoch,steps,syncs,accuracy,loss,time,exper_id
1,234,234,0.9355999827384948,0.2193272709846496,7.927541255950928,0
2,468,468,0.959999978542328,0.1342956721782684,14.576044082641602,0
3,702,702,0.9695000052452089,0.0992490202188491,21.30253505706787,0
4,937,937,0.9746999740600586,0.0775109454989433,28.08687257766724,0
5,1171,1171,0.9794999957084656,0.0653579905629158,34.795220375061035,0
6,1405,1405,0.9800999760627748,0.0611622370779514,41.42535662651062,0
7,1639,1639,0.9804999828338624,0.0567652843892574,48.08647584915161,0
8,1874,1874,0.9842000007629396,0.0485311076045036,54.77749228477478,0
9,2108,2108,0.9840999841690063,0.050138346850872,61.48889207839966,0
10,2342,2342,0.986299991607666,0.0424651987850666,68.34015727043152,0
1,234,14,0.925100028514862,0.254877895116806,8.52036166191101,1
2,468,22,0.9538999795913696,0.1510800570249557,15.75365400314331,1
3,702,28,0.9621000289916992,0.124915599822998,22.460209369659424,1
4,937,33,0.9697999954223632,0.0997631326317787,29.31617116928101,1
5,1171,38,0.975600004196167,0.0793385952711105,36.010169506073,1
6,1405,43,0.978600025177002,0.0705265402793884,42.8099205493927,1
7,1639,48,0.979099988937378,0.0663346499204635,49.47325539588928,1
8,1874,53,0.9764000177383424,0.0749755427241325,56.2350811958313,1
9,2108,57,0.9782999753952026,0.0699427947402,62.98287296295166,1
10,2342,62,0.9850999712944032,0.0527246706187725,69.72302770614624,1
1,234,234,0.933899998664856,0.2259661853313446,7.876807689666748,2
2,468,468,0.9596999883651732,0.1359123736619949,14.592463254928589,2
3,702,702,0.9672999978065492,0.1030082181096077,21.25695872306824,2
4,937,937,0.9750999808311462,0.0797706022858619,27.99644136428833,2
5,1171,1171,0.9786999821662904,0.0679607391357421,34.68392586708069,2
6,1405,1405,0.9811999797821044,0.0598034895956516,41.34706950187683,2
7,1639,1639,0.9804999828338624,0.0570440925657749,47.96245074272156,2
8,1874,1874,0.9846000075340272,0.0513100177049636,54.77339482307434,2
9,2108,2108,0.9843999743461608,0.0509310290217399,61.49240970611572,2
10,2342,2342,0.9843999743461608,0.0490017794072628,68.11560320854187,2
1,234,14,0.9243999719619752,0.2558223307132721,8.51582646369934,3
2,468,21,0.9557999968528748,0.1498241275548935,15.819883584976196,3
3,702,27,0.9682999849319458,0.1088878884911537,22.60928440093994,3
4,937,33,0.9711999893188475,0.08889652043581,29.370222568511963,3
5,1171,38,0.9799000024795532,0.0677024573087692,36.02684187889099,3
6,1405,43,0.9811000227928162,0.0651440024375915,42.79429340362549,3
7,1639,49,0.9837999939918518,0.0521048717200756,49.52129244804382,3
8,1874,53,0.9819999933242798,0.0572561025619506,56.28610253334045,3
9,2108,59,0.984000027179718,0.0496839918196201,63.07996916770935,3
10,2342,63,0.9836999773979188,0.0511996001005172,69.8201367855072,3
