epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,29,3,0.911300003528595,0.30894434452056885,52.30000853538513,42.57761001586914,0.023441791534423828,13
2,58,4,0.9571999907493591,0.1344825029373169,99.44463896751404,86.5076904296875,0.06781601905822754,13
3,87,5,0.9740999937057495,0.07706820219755173,147.96662974357605,132.151193857193,0.10619664192199707,13
4,116,6,0.9829999804496765,0.05019247904419899,196.91637587547302,178.13566184043884,0.12880682945251465,13
5,146,7,0.987500011920929,0.03727910295128822,247.83278846740723,225.94571185112,0.15098118782043457,13
6,175,7,0.987500011920929,0.03727910295128822,296.7777931690216,271.7838671207428,0.17218685150146484,13
7,204,8,0.9884999990463257,0.03334488347172737,345.1010708808899,316.91197061538696,0.2025301456451416,13
8,233,9,0.9904999732971191,0.029019124805927277,393.9149305820465,362.4701600074768,0.25264430046081543,13
9,263,9,0.9904999732971191,0.029019124805927277,444.27132630348206,409.5239553451538,0.2718050479888916,13
10,292,10,0.9905999898910522,0.02789953537285328,493.3576521873474,455.3362617492676,0.30316758155822754,13
11,321,11,0.9921000003814697,0.024617638438940048,541.9711196422577,500.73412251472473,0.348613977432251,13
12,350,11,0.9921000003814697,0.024617638438940048,590.8915152549744,546.6450278759003,0.3858053684234619,13
13,379,12,0.9922000169754028,0.025131382048130035,640.1010892391205,592.7696669101715,0.40419793128967285,13
14,409,13,0.9929999709129333,0.02372167445719242,690.7299437522888,640.1413178443909,0.4232628345489502,13
15,438,14,0.9930999875068665,0.02294786088168621,742.1469442844391,688.5271441936493,0.45694565773010254,13
16,467,14,0.9930999875068665,0.02294786088168621,792.5528361797333,735.7832295894623,0.4761693477630615,13
17,496,15,0.993399977684021,0.022081349045038223,841.4143152236938,781.525372505188,0.5036458969116211,13
18,526,16,0.9937000274658203,0.021685289219021797,891.7690017223358,828.7175996303558,0.5344109535217285,13
19,555,16,0.9937000274658203,0.021685289219021797,940.8526196479797,874.6217932701111,0.5585646629333496,13
20,584,17,0.9932000041007996,0.022496124729514122,989.5369336605072,920.5112969875336,0.5839228630065918,13
