exper_id,algorithm,model,clients,clients_distr,epochs,threshold,batch_size,syncs,duration,timestamp,epoch_steps
0,synchronous,lenet5,8,[],20,,64,2343,42.72675895690918,20-11-2023 16:20,117
1,naive,lenet5,8,[],20,1.1,64,633,44.3502471446991,20-11-2023 16:21,117
2,synchronous,adv_cnn,8,[],10,,64,1171,586.3145682811737,20-11-2023 16:36,117
3,naive,adv_cnn,8,[],10,100.0,64,10,570.4048018455505,20-11-2023 16:52,117
4,linear,adv_cnn,8,[],20,100.0,64,16,1183.382773399353,20-11-2023 17:13,117
5,sketch,adv_cnn,8,[],20,100.0,64,14,2171.9849507808685,20-11-2023 17:33,117
6,naive,adv_cnn,8,[],20,100.0,64,17,1139.0885846614838,20-11-2023 18:10,117
7,synchronous,adv_cnn,8,[],20,,64,2343,1203.6462891101835,20-11-2023 18:29,117
8,synchronous,adv_cnn,8,[],20,,256,584,998.3146159648896,20-11-2023 19:46,29
9,naive,adv_cnn,8,[],20,100.0,256,5,991.1196556091307,20-11-2023 20:04,29
10,linear,adv_cnn,8,[],20,100.0,256,5,1004.5390856266022,20-11-2023 20:21,29
11,naive,adv_cnn,8,[],20,80.0,64,20,1136.8703773021698,21-11-2023 07:38,117
12,naive,adv_cnn,8,[],20,90.0,64,18,1181.0269045829773,21-11-2023 07:59,117
13,naive,adv_cnn,8,[],20,20.0,256,17,989.5369336605072,21-11-2023 08:27,29
14,naive,adv_cnn,8,[],20,52.5,128,15,1046.3062679767609,21-11-2023 09:10,58
15,naive,adv_cnn,8,[],20,165.0,32,17,1297.5670895576477,21-11-2023 10:30,234
16,synchronous,adv_cnn,16,[],20,,64,1167,1220.696768283844,21-11-2023 11:17,58
17,naive,adv_cnn,16,[],20,165.0,32,10,1304.5147919654846,21-11-2023 11:38,117
18,synchronous,adv_cnn,32,[],20,,64,584,1126.664448738098,21-11-2023 12:27,29
19,synchronous,adv_cnn,32,[],20,,32,1167,1291.8745574951172,21-11-2023 13:32,58
20,naive,adv_cnn,32,[],20,2.0,256,25,973.56307554245,21-11-2023 14:31,7
21,naive,adv_cnn,16,[],20,100.0,256,3,1040.136905670166,23-11-2023 08:04,14
22,naive,adv_cnn,4,[],20,234.0,32,25,978.3132500648499,23-11-2023 09:36,468
