exper_id,exper_type,model_type,clients,clients_per_node,epochs,threshold,batch_size,duration,timestamp,steps_per_epoch,data_sync,data_non_sync
0,Synchronous SGD,adv_cnn,2,[2],10,,128,817.1622095108032,06-10-2023 13:43,234,10.368808,4e-06
1,Naive FDA,adv_cnn,2,[2],10,1.0,128,819.7980079650879,06-10-2023 13:59,234,10.368808,4e-06
2,Synchronous SGD,adv_cnn,2,[2],10,,128,812.1157875061035,06-10-2023 14:15,234,10.368808,4e-06
3,Naive FDA,adv_cnn,2,[2],10,1.0,128,819.116286277771,06-10-2023 14:31,234,10.368808,4e-06
4,Synchronous SGD,adv_cnn,2,[2],10,,128,816.2131323814392,06-10-2023 14:47,234,10.368808,4e-06
5,Naive FDA,adv_cnn,2,[2],10,1.0,128,821.9177289009094,06-10-2023 15:03,234,10.368808,4e-06
6,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,230.90733170509336,06-10-2023 15:23,58,10.368808,4e-06
7,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,306.9813919067383,06-10-2023 15:23,78,10.368808,4e-06
8,Synchronous SGD,adv_cnn,2,[2],10,,128,812.3370132446289,06-10-2023 15:19,234,10.368808,4e-06
9,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,249.0182719230652,06-10-2023 15:29,58,10.368808,4e-06
10,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,323.8318691253662,06-10-2023 15:30,78,10.368808,4e-06
11,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,230.4853413105011,06-10-2023 15:35,58,10.368808,4e-06
12,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,305.2477602958679,06-10-2023 15:37,78,10.368808,4e-06
13,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,248.91723084449768,06-10-2023 15:41,58,10.368808,4e-06
14,Naive FDA,adv_cnn,2,[2],10,1.0,128,826.9942617416382,06-10-2023 15:34,234,10.368808,4e-06
15,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,325.4615230560303,06-10-2023 15:44,78,10.368808,4e-06
17,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,306.6184358596802,06-10-2023 15:51,78,10.368808,4e-06
18,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,250.8693840503693,06-10-2023 15:52,58,10.368808,4e-06
19,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,229.80072569847107,06-10-2023 15:58,58,10.368808,4e-06
20,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,327.7018356323242,06-10-2023 15:58,78,10.368808,4e-06
21,Synchronous SGD,adv_cnn,2,[2],10,,128,814.4800071716309,06-10-2023 15:50,234,10.368808,4e-06
22,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,251.010174036026,06-10-2023 16:04,58,10.368808,4e-06
23,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,306.798219203949,06-10-2023 16:06,78,10.368808,4e-06
24,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,422.05303263664246,06-10-2023 16:07,117,10.368808,4e-06
25,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,231.6868686676025,06-10-2023 16:11,58,10.368808,4e-06
26,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,327.33471941947937,06-10-2023 16:13,78,10.368808,4e-06
27,Naive FDA,adv_cnn,2,[2],10,1.0,128,826.9444403648376,06-10-2023 16:06,234,10.368808,4e-06
28,Naive FDA,adv_cnn,8,"[2, 2, 2, 2]",10,1.0,128,249.55001139640808,06-10-2023 16:16,58,10.368808,4e-06
29,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,440.12497782707214,06-10-2023 16:16,117,10.368808,4e-06
30,Synchronous SGD,adv_cnn,6,"[2, 2, 2]",10,,128,306.100789308548,06-10-2023 16:20,78,10.368808,4e-06
31,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,421.1329505443573,06-10-2023 16:26,117,10.368808,4e-06
32,Naive FDA,adv_cnn,6,"[2, 2, 2]",10,1.0,128,326.50838351249695,06-10-2023 16:27,78,10.368808,4e-06
33,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,438.3299970626831,06-10-2023 16:35,117,10.368808,4e-06
34,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,423.4290862083435,06-10-2023 16:44,117,10.368808,4e-06
35,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,440.2480561733246,06-10-2023 16:53,117,10.368808,4e-06
36,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,420.4451534748077,06-10-2023 17:03,117,10.368808,4e-06
37,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,438.03677010536194,06-10-2023 17:12,117,10.368808,4e-06
38,Synchronous SGD,adv_cnn,4,"[2, 2]",10,,128,424.3244168758392,06-10-2023 17:21,117,10.368808,4e-06
39,Naive FDA,adv_cnn,4,"[2, 2]",10,1.0,128,437.370142698288,06-10-2023 17:31,117,10.368808,4e-06
40,Synchronous SGD,adv_cnn,8,"[2, 2, 2, 2]",10,,128,231.1279730796814,06-10-2023 19:03,58,10.368808,4e-06
