exper_id,algorithm,model,clients,clients_distr,epochs,threshold,batch_size,topology,syncs,duration,timestamp,epoch_steps
288,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,,128,ring,719,634.1923091411591,05-12-2023 10:55,14
289,naive,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,ring,104,131.3795030117035,05-12-2023 11:09,14
290,linear,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,ring,102,132.73015451431274,05-12-2023 11:13,14
291,sketch,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,ring,102,173.07942366600037,05-12-2023 11:18,14
292,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,,128,binary_tree,719,1155.9580051898956,05-12-2023 11:23,14
293,naive,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,binary_tree,103,205.834507226944,05-12-2023 11:45,14
294,linear,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,binary_tree,102,206.21361136436465,05-12-2023 11:50,14
295,sketch,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,binary_tree,104,255.34432697296145,05-12-2023 11:56,14
296,synchronous,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,,128,star,719,6266.87503695488,05-12-2023 12:03,14
297,naive,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,star,102,929.4213206768036,05-12-2023 13:50,14
298,linear,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,star,100,913.7373247146606,05-12-2023 14:09,14
299,sketch,adv_cnn,32,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,2.0,128,star,104,1034.419116973877,05-12-2023 14:27,14
